Interval,Model,Strategy,Slippage %,final_equity,total_return_pct,buy_hold_final_equity,buy_hold_return_pct,num_trades,active_bars,total_bars,win_rate_pct,total_slippage_cost_usd
Daily,Small,Unfiltered,0.2,7904.586069956341,-20.95413930043659,9486.565053189088,-5.134349468109123,39,160,160,48.125,1540.0
Daily,Small,Unfiltered,0.54,6067.663169271713,-39.32336830728287,9486.565053189088,-5.134349468109123,39,160,160,48.125,4158.0
Daily,Small,Filtered+Hysteresis,0.2,11364.486964851634,13.644869648516345,9486.565053189088,-5.134349468109123,25,45,160,60.0,520.0
Daily,Small,Filtered+Hysteresis,0.54,10403.5108932386,4.035108932385989,9486.565053189088,-5.134349468109123,25,45,160,60.0,1404.0
Daily,Base,Unfiltered,0.2,8906.99669182216,-10.9300330817784,9552.317460535412,-4.4768253946458785,46,160,160,51.25,1820.0
Daily,Base,Unfiltered,0.54,6521.184780591734,-34.788152194082656,9552.317460535412,-4.4768253946458785,46,160,160,51.25,4914.0
Daily,Base,Filtered+Hysteresis,0.2,11101.664693656394,11.016646936563944,9552.317460535412,-4.4768253946458785,33,60,160,60.0,700.0
Daily,Base,Filtered+Hysteresis,0.54,9854.640974750439,-1.453590252495618,9552.317460535412,-4.4768253946458785,33,60,160,60.0,1890.0
Hourly,Small,Unfiltered,0.2,988.082610032945,-90.11917389967054,7133.4253279741315,-28.66574672025869,486,4348,4348,50.436982520699175,19420.0
Hourly,Small,Unfiltered,0.54,35.47294193660187,-99.64527058063398,7133.4253279741315,-28.66574672025869,486,4348,4348,50.436982520699175,52434.0
Hourly,Small,Filtered+Hysteresis,0.2,14272.5814394059,42.725814394059,7133.4253279741315,-28.66574672025869,566,1183,4348,58.833474218089606,11360.0
Hourly,Small,Filtered+Hysteresis,0.54,2061.9086408358717,-79.38091359164127,7133.4253279741315,-28.66574672025869,566,1183,4348,58.833474218089606,30672.0
Hourly,Base,Unfiltered,0.2,978.2990944308071,-90.21700905569193,7223.6476728474845,-27.76352327152516,521,4348,4348,50.48298068077277,20820.0
Hourly,Base,Unfiltered,0.54,27.617842484906017,-99.72382157515094,7223.6476728474845,-27.76352327152516,521,4348,4348,50.48298068077277,56214.0
Hourly,Base,Filtered+Hysteresis,0.2,12247.86394063723,22.47863940637229,7223.6476728474845,-27.76352327152516,584,1248,4348,59.05448717948718,11720.0
Hourly,Base,Filtered+Hysteresis,0.54,1663.7942733768866,-83.36205726623113,7223.6476728474845,-27.76352327152516,584,1248,4348,59.05448717948718,31644.0
15-Minute,Small,Unfiltered,0.2,208.78364520054163,-97.91216354799458,7255.566122628753,-27.444338773712474,967,17452,17452,50.73917029566812,38660.0
15-Minute,Small,Unfiltered,0.54,0.27833515828659383,-99.99721664841714,7255.566122628753,-27.444338773712474,967,17452,17452,50.73917029566812,104382.0
15-Minute,Small,Filtered+Hysteresis,0.2,3923.0611420614573,-60.76938857938543,7255.566122628753,-27.444338773712474,2082,6619,17452,57.380268922798,41740.0
15-Minute,Small,Filtered+Hysteresis,0.54,3.190781170046085,-99.96809218829954,7255.566122628753,-27.444338773712474,2082,6619,17452,57.380268922798,112698.0
15-Minute,Base,Unfiltered,0.2,98.34575364844184,-99.01654246351558,7159.082603331325,-28.40917396668675,1084,17452,17452,50.99702039880816,43340.0
15-Minute,Base,Unfiltered,0.54,0.058790108628095354,-99.99941209891372,7159.082603331325,-28.40917396668675,1084,17452,17452,50.99702039880816,117018.0
15-Minute,Base,Filtered+Hysteresis,0.2,3174.2048910735552,-68.25795108926445,7159.082603331325,-28.40917396668675,2152,6392,17452,58.103879849812266,43100.0
15-Minute,Base,Filtered+Hysteresis,0.54,2.0465578573022443,-99.97953442142698,7159.082603331325,-28.40917396668675,2152,6392,17452,58.103879849812266,116370.0
