Window,Interval,Model,Strategy,Slippage %,final_equity,total_return_pct,buy_hold_final_equity,buy_hold_return_pct,num_trades,active_bars,total_bars,win_rate_pct,total_slippage_cost_usd
Recent,Daily,Small,Unfiltered,0.2,9703.852050536649,-2.961479494633512,10462.73486268967,4.627348626896688,10,29,29,55.172413793103445,380.0
Recent,Daily,Small,Unfiltered,0.54,9091.302329936741,-9.086976700632587,10462.73486268967,4.627348626896688,10,29,29,55.172413793103445,1026.0
Recent,Daily,Small,Filtered+Hysteresis,0.2,10352.767739559156,3.5276773955915663,10462.73486268967,4.627348626896688,9,15,29,66.66666666666667,200.0
Recent,Daily,Small,Filtered+Hysteresis,0.54,10007.781926859147,0.07781926859147248,10462.73486268967,4.627348626896688,9,15,29,66.66666666666667,540.0
Recent,Daily,Base,Unfiltered,0.2,11140.535888853301,11.405358888533002,10917.59601028304,9.175960102830395,8,29,29,58.62068965517241,300.0
Recent,Daily,Base,Unfiltered,0.54,10582.554499134043,5.825544991340426,10917.59601028304,9.175960102830395,8,29,29,58.62068965517241,810.0
Recent,Daily,Base,Filtered+Hysteresis,0.2,10566.49108146037,5.664910814603696,10917.59601028304,9.175960102830395,8,16,29,56.25,180.0
Recent,Daily,Base,Filtered+Hysteresis,0.54,10247.949030625918,2.47949030625918,10917.59601028304,9.175960102830395,8,16,29,56.25,486.0
Recent,Hourly,Small,Unfiltered,0.2,7280.142851554479,-27.198571484455204,10559.736102815526,5.597361028155268,93,719,719,50.48678720445063,3700.0
Recent,Hourly,Small,Unfiltered,0.54,3863.43175113677,-61.3656824886323,10559.736102815526,5.597361028155268,93,719,719,50.48678720445063,9990.0
Recent,Hourly,Small,Filtered+Hysteresis,0.2,10550.67083352596,5.506708335259591,10559.736102815526,5.597361028155268,74,165,719,63.63636363636363,1480.0
Recent,Hourly,Small,Filtered+Hysteresis,0.54,8198.84085982459,-18.011591401754103,10559.736102815526,5.597361028155268,74,165,719,63.63636363636363,3996.0
