Interval,Model,Slippage %,final_equity,total_return_pct,buy_hold_final_equity,buy_hold_return_pct,num_trades,win_rate_pct,total_slippage_cost_usd
Daily,Kronos-small,0.2,6233.8157769945765,-37.66184223005423,7482.588814757663,-25.174111852423366,39,46.36871508379888,1540.0
Daily,Kronos-small,0.54,4783.876342643421,-52.161236573565795,7482.588814757663,-25.174111852423366,39,46.36871508379888,4158.0
Daily,Kronos-base,0.2,7578.7188756665755,-24.212811243334244,8128.423165084458,-18.715768349155425,46,49.720670391061454,1820.0
Daily,Kronos-base,0.54,5547.975316428,-44.52024683572,8128.423165084458,-18.715768349155425,46,49.720670391061454,4914.0
Hourly,Kronos-small,0.2,996.8167732903112,-90.03183226709689,7209.90791882222,-27.900920811777794,489,50.46942981451797,19540.0
Hourly,Kronos-small,0.54,35.063706592508616,-99.64936293407492,7209.90791882222,-27.900920811777794,489,50.46942981451797,52758.0
Hourly,Kronos-base,0.2,985.8409546355571,-90.14159045364443,7165.909423990671,-28.340905760093293,521,50.56102587588734,20820.0
Hourly,Kronos-base,0.54,27.83020428509147,-99.72169795714908,7165.909423990671,-28.340905760093293,521,50.56102587588734,56214.0
15-Minute,Kronos-small,0.2,207.96133869175543,-97.92038661308244,7225.4105129723375,-27.745894870276622,974,50.7698471753191,38940.0
15-Minute,Kronos-small,0.54,0.26425697463301534,-99.99735743025367,7225.4105129723375,-27.745894870276622,974,50.7698471753191,105138.0
15-Minute,Kronos-base,0.2,97.88334365498535,-99.02116656345015,7195.674270912258,-28.04325729087742,1085,50.99307423730754,43380.0
15-Minute,Kronos-base,0.54,0.058114255050478965,-99.9994188574495,7195.674270912258,-28.04325729087742,1085,50.99307423730754,117126.0
